Filepath,Optimistic,CPM,PERT,PERT SD,PERT (99%),BB/2 Mean,BB/2 SD,BB/2 (99%),Lognormal Mean,Lognormal SD,Lognormal (99%),Pessimistic,Sim Min,Sim Mean,Sim SD,Sim Mode,Sim Median,Sim Skewness,Sim 99%,Sim Max,Sim Time (Seconds)
Set 1 SP_EV440,42.5,85,92.083,6.23,121.52,96.806,10.625,121.88,96.696,22.733,170.0,170.0,70.576,101.038,7.702,70.576,100.902,0.101,119.398,141.857,3.51
Set 1 SP_EV441,43.0,86,93.167,5.93,122.95,97.944,10.75,123.31,97.834,23.0,172.0,172.0,70.063,100.337,7.394,70.063,100.22,0.091,117.918,139.015,1.673
Set 1 SP_EV442,35.5,71,76.917,5.36,101.51,80.861,8.875,101.81,80.77,18.989,142.0,142.0,52.5,82.863,6.647,52.5,82.732,0.113,98.744,115.965,1.982
Set 1 SP_EV443,35.5,71,76.917,5.37,101.51,80.861,8.875,101.81,80.77,18.989,142.0,142.0,54.364,82.851,6.7,54.364,82.725,0.105,98.793,115.971,1.943
Set 1 SP_EV444,54.5,109,118.083,7.43,155.84,124.139,13.625,156.29,123.999,29.152,218.0,218.0,87.535,127.176,9.284,87.535,127.037,0.087,149.268,172.372,3.44
Set 1 SP_EV445,45.5,91,98.583,6.81,130.1,103.639,11.375,130.48,103.522,24.338,182.0,182.0,79.145,111.115,7.778,79.145,110.987,0.096,129.658,148.87,58.392
Set 1 SP_EV446,46.0,92,99.667,6.41,131.53,104.778,11.5,131.92,104.659,24.605,184.0,184.0,74.204,108.289,7.981,74.204,108.163,0.094,127.255,150.2,2.804
Set 1 SP_EV447,46.5,93,100.75,6.53,132.96,105.917,11.625,133.35,105.797,24.872,186.0,186.0,76.785,108.494,8.141,76.785,108.365,0.09,127.832,147.526,2.475
Set 1 SP_EV448,40.0,80,86.667,5.89,114.37,91.111,10.0,114.71,91.008,21.396,160.0,160.0,65.206,95.235,7.012,65.206,95.103,0.111,112.009,128.654,12.972
Set 1 SP_EV449,35.0,70,75.833,5.22,100.08,79.722,8.75,100.37,79.632,18.721,140.0,140.0,55.599,81.668,6.512,55.599,81.544,0.104,97.191,111.622,1.676
Set 1 SP_EV450,41.5,83,89.917,5.83,118.66,94.528,10.375,119.01,94.421,22.198,166.0,166.0,67.119,96.93,7.216,67.119,96.801,0.101,114.147,130.079,6.421
Set 1 SP_EV451,43.0,86,93.167,6.23,122.95,97.944,10.75,123.31,97.834,23.0,172.0,172.0,71.83,101.985,7.274,71.83,101.825,0.119,119.425,137.074,43.883
Set 1 SP_EV452,34.0,68,73.667,5.27,97.22,77.444,8.5,97.5,77.357,18.186,136.0,136.0,54.598,80.879,6.159,54.598,80.74,0.128,95.659,110.946,7.432
Set 1 SP_EV453,39.5,79,85.583,5.92,112.94,89.972,9.875,113.28,89.871,21.128,158.0,158.0,61.099,92.167,7.378,61.099,92.031,0.1,109.702,127.191,4.45
Set 1 SP_EV454,42.5,85,92.083,6.13,121.52,96.806,10.625,121.88,96.696,22.733,170.0,170.0,65.902,99.163,7.645,65.902,99.031,0.102,117.355,137.144,1.842
Set 1 SP_EV455,38.0,76,82.333,5.53,108.66,86.556,9.5,108.98,86.458,20.326,152.0,152.0,62.903,90.051,6.702,62.903,89.923,0.108,106.032,125.22,37.752
Set 1 SP_EV456,46.5,93,100.75,6.78,132.96,105.917,11.625,133.35,105.797,24.872,186.0,186.0,74.555,111.044,7.928,74.555,110.91,0.102,129.93,149.197,60.657
Set 1 SP_EV457,31.0,62,67.167,4.65,88.64,70.611,7.75,88.9,70.531,16.582,124.0,124.0,48.95,72.341,5.798,48.95,72.215,0.113,86.182,98.55,1.819
Set 1 SP_EV458,52.0,104,112.667,7.17,148.69,118.444,13.0,149.12,118.311,27.814,208.0,208.0,83.966,121.33,8.937,83.966,121.183,0.097,142.599,164.891,3.062
Set 1 SP_EV459,44.5,89,96.417,6.51,127.24,101.361,11.125,127.62,101.247,23.803,178.0,178.0,67.4,104.4,8.0,67.4,104.276,0.098,123.464,143.244,6.157
Set 1 SP_EV460,47.0,94,101.833,6.75,134.39,107.056,11.75,134.78,106.935,25.14,188.0,188.0,74.545,109.687,8.427,74.545,109.552,0.098,129.759,150.931,9.518
Set 1 SP_EV461,35.5,71,76.917,5.49,101.51,80.861,8.875,101.81,80.77,18.989,142.0,142.0,57.093,84.376,6.651,57.093,84.235,0.115,100.252,115.979,7.6
Set 1 SP_EV462,44.0,88,95.333,6.37,125.81,100.222,11.0,126.18,100.109,23.535,176.0,176.0,70.664,102.852,7.917,70.664,102.711,0.1,121.732,140.719,1.78
Set 1 SP_EV463,37.0,74,80.167,5.47,105.8,84.278,9.25,106.11,84.183,19.791,148.0,148.0,62.461,89.493,6.233,62.461,89.4,0.091,104.301,122.773,8.297
Set 1 SP_EV464,38.5,77,83.417,5.66,110.09,87.694,9.625,110.41,87.595,20.593,154.0,154.0,61.411,89.939,7.0,61.411,89.799,0.116,106.694,123.425,4.345
Set 1 SP_EV465,38.0,76,82.333,5.39,108.66,86.556,9.5,108.98,86.458,20.326,152.0,152.0,59.535,88.667,6.713,59.535,88.561,0.094,104.632,122.98,2.825
Set 1 SP_EV466,48.5,97,105.083,6.61,138.68,110.472,12.125,139.09,110.347,25.942,194.0,194.0,81.054,115.557,7.922,81.054,115.44,0.089,134.431,157.613,15.363
Set 1 SP_EV467,41.0,82,88.833,6.06,117.23,93.389,10.25,117.58,93.283,21.931,164.0,164.0,65.056,95.682,7.565,65.056,95.529,0.104,113.67,132.064,2.401
Set 1 SP_EV468,41.0,82,88.833,6.09,117.23,93.389,10.25,117.58,93.283,21.931,164.0,164.0,68.468,97.912,7.184,68.468,97.797,0.092,115.015,134.735,6.966
Set 1 SP_EV469,43.0,86,93.167,6.2,122.95,97.944,10.75,123.31,97.834,23.0,172.0,172.0,69.617,101.043,7.615,69.617,100.922,0.095,119.158,137.218,5.747
Set 1 SP_EV470,47.5,95,102.917,6.6,135.82,108.194,11.875,136.22,108.072,25.407,190.0,190.0,78.703,111.235,8.142,78.703,111.098,0.096,130.627,148.802,6.363
Set 1 SP_EV471,31.5,63,68.25,5.09,90.07,71.75,7.875,90.33,71.669,16.849,126.0,126.0,50.97,75.332,6.056,50.97,75.194,0.124,89.824,104.482,5.508
Set 1 SP_EV472,33.5,67,72.583,5.02,95.79,76.306,8.375,96.07,76.219,17.919,134.0,134.0,52.963,78.466,6.213,52.963,78.332,0.12,93.324,108.059,11.783
Set 1 SP_EV473,33.0,66,71.5,5.2,94.36,75.167,8.25,94.64,75.082,17.651,132.0,132.0,51.335,77.722,6.517,51.335,77.593,0.115,93.234,108.611,2.916
Set 1 SP_EV474,48.0,96,104.0,6.96,137.25,109.333,12.0,137.65,109.21,25.675,192.0,192.0,75.307,112.008,8.69,75.307,111.868,0.097,132.697,154.598,2.379
Set 1 SP_EV475,37.5,75,81.25,5.67,107.23,85.417,9.375,107.54,85.32,20.058,150.0,150.0,59.051,87.533,7.06,59.051,87.406,0.106,104.367,120.366,2.746
Set 1 SP_EV476,41.5,83,89.917,5.92,118.66,94.528,10.375,119.01,94.421,22.198,166.0,166.0,66.653,97.016,7.271,66.653,96.865,0.116,114.441,130.548,7.715
Set 1 SP_EV477,42.0,84,91.0,6.06,120.09,95.667,10.5,120.45,95.559,22.465,168.0,168.0,67.349,98.661,7.397,67.349,98.535,0.096,116.234,133.332,4.312
Set 1 SP_EV478,38.0,76,82.333,5.61,108.66,86.556,9.5,108.98,86.458,20.326,152.0,152.0,58.244,88.673,6.995,58.244,88.559,0.1,105.316,122.189,2.891
Set 1 SP_EV479,43.0,86,93.167,6.29,122.95,97.944,10.75,123.31,97.834,23.0,172.0,172.0,68.183,100.328,7.841,68.183,100.194,0.102,119.044,137.982,1.727
Set 1 SP_EV480,37.0,74,80.167,5.5,105.8,84.278,9.25,106.11,84.183,19.791,148.0,148.0,59.693,86.366,6.837,59.693,86.233,0.107,102.64,118.569,7.464
Set 1 SP_EV481,48.0,96,104.0,6.58,137.25,109.333,12.0,137.65,109.21,25.675,192.0,192.0,73.057,111.99,8.199,73.057,111.86,0.087,131.47,151.173,2.019
Set 1 SP_EV482,37.0,74,80.167,5.41,105.8,84.278,9.25,106.11,84.183,19.791,148.0,148.0,58.837,86.324,6.745,58.837,86.211,0.097,102.342,121.314,1.682
Set 1 SP_EV483,49.5,99,107.25,6.96,141.54,112.75,12.375,141.95,112.623,26.477,198.0,198.0,78.599,115.492,8.67,78.599,115.344,0.094,136.107,155.293,2.313
Set 1 SP_EV484,46.5,93,100.75,6.51,132.96,105.917,11.625,133.35,105.797,24.872,186.0,186.0,74.316,108.498,8.123,74.316,108.361,0.095,127.83,147.132,1.862
Set 1 SP_EV485,43.0,86,93.167,5.93,122.95,97.944,10.75,123.31,97.834,23.0,172.0,172.0,67.216,100.435,7.341,67.216,100.309,0.095,117.887,135.3,7.775
Set 1 SP_EV486,39.0,78,84.5,5.98,111.52,88.833,9.75,111.84,88.733,20.861,156.0,156.0,64.796,94.99,6.905,64.796,94.865,0.105,111.471,130.783,42.344
Set 1 SP_EV487,41.5,83,89.917,6.04,118.66,94.528,10.375,119.01,94.421,22.198,166.0,166.0,64.919,97.042,7.422,64.919,96.902,0.112,114.775,132.255,8.009
Set 1 SP_EV488,36.5,73,79.083,5.53,104.37,83.139,9.125,104.67,83.045,19.524,146.0,146.0,60.659,87.485,6.582,60.659,87.381,0.093,103.099,118.09,7.271
Set 1 SP_EV489,35.0,70,75.833,5.37,100.08,79.722,8.75,100.37,79.632,18.721,140.0,140.0,54.637,81.67,6.704,54.637,81.557,0.104,97.625,115.87,2.286
Set 1 SP_EV490,42.5,85,92.083,6.23,121.52,96.806,10.625,121.88,96.696,22.733,170.0,170.0,67.189,99.174,7.77,67.189,99.022,0.104,117.641,137.102,3.181
Set 1 SP_EV491,42.0,84,91.0,6.17,120.09,95.667,10.5,120.45,95.559,22.465,168.0,168.0,70.267,99.833,7.511,70.267,99.695,0.105,117.711,136.302,48.749
Set 1 SP_EV492,42.0,84,91.0,6.52,120.09,95.667,10.5,120.45,95.559,22.465,168.0,168.0,69.456,101.484,7.146,69.456,101.313,0.131,118.677,136.606,6.968
Set 1 SP_EV493,37.0,74,80.167,5.44,105.8,84.278,9.25,106.11,84.183,19.791,148.0,148.0,58.563,86.336,6.791,58.563,86.203,0.109,102.508,120.791,2.453
Set 1 SP_EV494,44.5,89,96.417,6.19,127.24,101.361,11.125,127.62,101.247,23.803,178.0,178.0,71.801,105.654,7.475,71.801,105.55,0.081,123.36,142.086,11.128
Set 1 SP_EV495,39.5,79,85.583,5.66,112.94,89.972,9.875,113.28,89.871,21.128,158.0,158.0,64.561,93.18,6.939,64.561,93.06,0.104,109.72,128.926,6.302
Set 1 SP_EV496,33.0,66,71.5,4.99,94.36,75.167,8.25,94.64,75.082,17.651,132.0,132.0,53.269,77.103,6.172,53.269,76.978,0.117,91.838,107.283,2.889
Set 1 SP_EV497,47.0,94,101.833,6.5,134.39,107.056,11.75,134.78,106.935,25.14,188.0,188.0,73.305,109.678,8.107,73.305,109.546,0.095,128.995,147.491,3.034
Set 1 SP_EV498,41.5,83,89.917,6.2,118.66,94.528,10.375,119.01,94.421,22.198,166.0,166.0,65.836,96.823,7.733,65.836,96.684,0.1,115.243,134.063,2.962
Set 1 SP_EV499,38.0,76,82.333,5.32,108.66,86.556,9.5,108.98,86.458,20.326,152.0,152.0,61.445,88.671,6.626,61.445,88.56,0.097,104.429,121.674,2.6
Set 1 SP_EV500,47.0,94,101.833,6.94,134.39,107.056,11.75,134.78,106.935,25.14,188.0,188.0,75.37,109.733,8.636,75.37,109.593,0.097,130.305,151.736,5.779
Set 1 SP_EV501,50.0,100,108.333,6.86,142.97,113.889,12.5,143.39,113.76,26.745,200.0,200.0,82.128,116.665,8.55,82.128,116.529,0.095,137.024,158.244,2.597
Set 1 SP_EV502,56.5,113,122.417,7.41,161.55,128.694,14.125,162.03,128.549,30.221,226.0,226.0,92.462,132.139,9.152,92.462,131.998,0.091,153.92,176.75,14.153
Set 1 SP_EV503,54.0,108,117.0,6.98,154.41,123.0,13.5,154.86,122.861,28.884,216.0,216.0,87.028,126.529,8.603,87.028,126.397,0.093,147.02,168.904,4.952
Set 1 SP_EV504,53.0,106,114.833,7.01,151.55,120.722,13.25,151.99,120.586,28.349,212.0,212.0,86.566,123.672,8.746,86.566,123.534,0.087,144.43,167.691,1.786
Set 1 SP_EV505,41.5,83,89.917,5.61,118.66,94.528,10.375,119.01,94.421,22.198,166.0,166.0,69.68,96.959,6.942,69.68,96.832,0.1,113.461,132.064,2.516
Set 1 SP_EV506,61.0,122,132.167,7.75,174.42,138.944,15.25,174.93,138.787,32.628,244.0,244.0,103.824,144.116,9.448,103.824,143.983,0.083,166.578,189.872,6.128
Set 1 SP_EV507,50.0,100,108.333,6.55,142.97,113.889,12.5,143.39,113.76,26.745,200.0,200.0,83.71,116.671,8.16,83.71,116.551,0.087,136.062,156.391,1.732
Set 1 SP_EV508,48.0,96,104.0,6.4,137.25,109.333,12.0,137.65,109.21,25.675,192.0,192.0,77.845,111.992,7.998,77.845,111.852,0.095,131.026,152.084,3.148
Set 1 SP_EV509,46.5,93,100.75,6.42,132.96,105.917,11.625,133.35,105.797,24.872,186.0,186.0,74.115,108.49,7.996,74.115,108.37,0.095,127.561,149.804,3.031
Set 1 SP_EV510,53.5,107,115.917,7.18,152.98,121.861,13.375,153.43,121.723,28.617,214.0,214.0,86.796,124.964,8.913,86.796,124.819,0.097,146.202,170.96,4.563
Set 1 SP_EV511,62.5,125,135.417,7.81,178.71,142.361,15.625,179.24,142.2,33.431,250.0,250.0,104.52,145.843,9.747,104.52,145.714,0.076,168.955,192.518,1.709
Set 1 SP_EV512,60.0,120,130.0,7.47,171.56,136.667,15.0,172.07,136.512,32.094,240.0,240.0,101.346,141.852,8.997,101.346,141.728,0.083,163.274,184.72,12.781
Set 1 SP_EV513,44.5,89,96.417,6.31,127.24,101.361,11.125,127.62,101.247,23.803,178.0,178.0,69.902,103.845,7.873,69.902,103.701,0.102,122.62,143.388,2.207
Set 1 SP_EV514,45.5,91,98.583,5.89,130.1,103.639,11.375,130.48,103.522,24.338,182.0,182.0,73.823,106.17,7.349,73.823,106.059,0.092,123.642,145.849,1.644
Set 1 SP_EV515,49.5,99,107.25,6.63,141.54,112.75,12.375,141.95,112.623,26.477,198.0,198.0,80.618,115.501,8.265,80.618,115.373,0.095,135.127,154.821,1.524
Set 1 SP_EV516,55.0,110,119.167,7.29,157.27,125.278,13.75,157.73,125.136,29.419,220.0,220.0,91.036,128.348,9.101,91.036,128.207,0.088,149.983,171.491,1.571
Set 1 SP_EV517,45.0,90,97.5,6.07,128.67,102.5,11.25,129.05,102.384,24.07,180.0,180.0,73.026,106.1,7.457,73.026,105.994,0.085,123.777,140.495,4.57
Set 1 SP_EV518,46.0,92,99.667,6.49,131.53,104.778,11.5,131.92,104.659,24.605,184.0,184.0,71.732,107.338,8.097,71.732,107.197,0.096,126.6,145.151,1.856
Set 1 SP_EV519,54.5,109,118.083,6.97,155.84,124.139,13.625,156.29,123.999,29.152,218.0,218.0,91.039,127.185,8.688,91.039,127.063,0.086,147.899,172.392,2.047
Set 1 SP_EV520,39.5,79,85.583,5.74,112.94,89.972,9.875,113.28,89.871,21.128,158.0,158.0,64.001,92.413,7.06,64.001,92.271,0.116,109.269,126.785,2.528
Set 1 SP_EV521,56.5,113,122.417,7.18,161.55,128.694,14.125,162.03,128.549,30.221,226.0,226.0,95.267,131.824,8.955,95.267,131.699,0.083,153.085,172.999,1.647
Set 1 SP_EV522,62.5,125,135.417,7.89,178.71,142.361,15.625,179.24,142.2,33.431,250.0,250.0,102.969,147.009,9.716,102.969,146.874,0.081,170.036,196.532,3.293
Set 1 SP_EV523,50.5,101,109.417,6.65,144.4,115.028,12.625,144.82,114.898,27.012,202.0,202.0,81.583,117.916,8.258,81.583,117.78,0.092,137.575,156.582,4.85
Set 1 SP_EV524,50.5,101,109.417,6.9,144.4,115.028,12.625,144.82,114.898,27.012,202.0,202.0,82.367,118.636,8.44,82.367,118.504,0.095,138.722,156.751,25.481
Set 1 SP_EV525,57.5,115,124.583,7.25,164.41,130.972,14.375,164.9,130.824,30.756,230.0,230.0,94.607,134.158,9.048,94.607,134.033,0.081,155.625,176.299,2.271
Set 1 SP_EV526,50.0,100,108.333,6.82,142.97,113.889,12.5,143.39,113.76,26.745,200.0,200.0,81.486,116.677,8.497,81.486,116.552,0.089,136.862,156.058,1.902
Set 1 SP_EV527,52.0,104,112.667,6.62,148.69,118.444,13.0,149.12,118.311,27.814,208.0,208.0,84.941,121.33,8.268,84.941,121.208,0.086,140.999,163.803,3.117
Set 1 SP_EV528,59.0,118,127.833,7.56,168.7,134.389,14.75,169.2,134.237,31.559,236.0,236.0,98.245,137.665,9.432,98.245,137.523,0.085,160.066,180.691,1.766
Set 1 SP_EV529,46.0,92,99.667,6.17,131.53,104.778,11.5,131.92,104.659,24.605,184.0,184.0,76.054,108.439,7.607,76.054,108.318,0.094,126.577,148.529,3.341
Set 1 SP_EV530,42.0,84,91.0,5.69,120.09,95.667,10.5,120.45,95.559,22.465,168.0,168.0,66.421,97.993,7.083,66.421,97.88,0.098,114.889,133.33,5.405
Set 1 SP_EV531,43.0,86,93.167,5.87,122.95,97.944,10.75,123.31,97.834,23.0,172.0,172.0,70.839,101.004,7.236,70.839,100.888,0.092,118.228,140.679,3.94
Set 1 SP_EV532,52.0,104,112.667,6.77,148.69,118.444,13.0,149.12,118.311,27.814,208.0,208.0,87.341,121.366,8.427,87.341,121.229,0.091,141.376,163.237,7.808
Set 1 SP_EV533,51.5,103,111.583,6.57,147.26,117.306,12.875,147.69,117.173,27.547,206.0,206.0,84.561,120.169,8.189,84.561,120.042,0.086,139.648,161.157,3.536
Set 1 SP_EV534,47.5,95,102.917,6.38,135.82,108.194,11.875,136.22,108.072,25.407,190.0,190.0,76.19,110.832,7.961,76.19,110.697,0.095,129.776,148.896,1.696
Set 1 SP_EV535,41.0,82,88.833,5.68,117.23,93.389,10.25,117.58,93.283,21.931,164.0,164.0,66.217,96.019,6.974,66.217,95.888,0.104,112.665,133.221,2.404
Set 1 SP_EV536,43.5,87,94.25,5.65,124.38,99.083,10.875,124.75,98.971,23.268,174.0,174.0,69.603,101.496,7.047,69.603,101.383,0.091,118.215,135.927,1.956
Set 1 SP_EV537,61.5,123,133.25,7.53,175.85,140.083,15.375,176.37,139.925,32.896,246.0,246.0,105.185,143.508,9.391,105.185,143.381,0.079,165.784,186.779,4.039
Set 1 SP_EV538,45.0,90,97.5,5.86,128.67,102.5,11.25,129.05,102.384,24.07,180.0,180.0,72.174,105.0,7.3,72.174,104.884,0.09,122.366,141.306,5.61
Set 1 SP_EV539,56.0,112,121.333,7.19,160.12,127.556,14.0,160.59,127.411,29.954,224.0,224.0,89.999,130.66,8.963,89.999,130.52,0.09,151.961,176.103,2.342
Set 1 SP_EV540,54.0,108,117.0,6.84,154.41,123.0,13.5,154.86,122.861,28.884,216.0,216.0,87.128,126.064,8.505,87.128,125.935,0.087,146.249,166.724,6.632
Set 1 SP_EV541,44.5,89,96.417,5.81,127.24,101.361,11.125,127.62,101.247,23.803,178.0,178.0,73.204,104.785,7.043,73.204,104.675,0.089,121.537,138.294,3.107
Set 1 SP_EV542,57.0,114,123.5,7.2,162.98,129.833,14.25,163.46,129.687,30.489,228.0,228.0,95.014,133.001,8.986,95.014,132.863,0.085,154.35,177.56,1.947
Set 1 SP_EV543,53.0,106,114.833,6.75,151.55,120.722,13.25,151.99,120.586,28.349,212.0,212.0,89.549,123.655,8.422,89.549,123.528,0.085,143.66,164.706,1.619
Set 1 SP_EV544,51.5,103,111.583,6.89,147.26,117.306,12.875,147.69,117.173,27.547,206.0,206.0,82.454,120.67,8.446,82.454,120.527,0.095,140.758,161.464,5.044
Set 1 SP_EV545,55.0,110,119.167,6.96,157.27,125.278,13.75,157.73,125.136,29.419,220.0,220.0,94.086,129.088,8.684,94.086,128.96,0.086,149.725,173.363,5.77
Set 1 SP_EV546,46.5,93,100.75,6.08,132.96,105.917,11.625,133.35,105.797,24.872,186.0,186.0,75.214,108.504,7.564,75.214,108.381,0.093,126.506,145.458,2.027
Set 1 SP_EV547,53.0,106,114.833,6.96,151.55,120.722,13.25,151.99,120.586,28.349,212.0,212.0,88.535,124.826,8.595,88.535,124.693,0.09,145.25,165.493,3.49
Set 1 SP_EV548,46.5,93,100.75,6.5,132.96,105.917,11.625,133.35,105.797,24.872,186.0,186.0,76.369,108.816,8.026,76.369,108.684,0.102,127.954,147.706,6.048
Set 1 SP_EV549,52.0,104,112.667,6.75,148.69,118.444,13.0,149.12,118.311,27.814,208.0,208.0,89.916,123.682,8.092,89.916,123.553,0.089,142.913,163.042,37.454
Set 1 SP_EV550,54.5,109,118.083,7.11,155.84,124.139,13.625,156.29,123.999,29.152,218.0,218.0,87.083,128.165,8.752,87.083,128.052,0.082,148.937,173.174,5.892
Set 1 SP_EV551,46.5,93,100.75,6.16,132.96,105.917,11.625,133.35,105.797,24.872,186.0,186.0,77.714,108.662,7.633,77.714,108.537,0.096,126.841,148.042,4.839
Set 1 SP_EV552,55.0,110,119.167,7.09,157.27,125.278,13.75,157.73,125.136,29.419,220.0,220.0,89.994,128.318,8.827,89.994,128.192,0.085,149.268,170.069,3.772
Set 1 SP_EV553,51.0,102,110.5,6.74,145.83,116.167,12.75,146.26,116.035,27.28,204.0,204.0,82.394,118.994,8.404,82.394,118.859,0.091,138.946,164.471,2.315
Set 1 SP_EV554,48.0,96,104.0,6.32,137.25,109.333,12.0,137.65,109.21,25.675,192.0,192.0,79.083,112.011,7.884,79.083,111.897,0.089,130.766,149.157,1.663
Set 1 SP_EV555,53.0,106,114.833,6.81,151.55,120.722,13.25,151.99,120.586,28.349,212.0,212.0,83.231,123.663,8.498,83.231,123.546,0.084,143.877,165.266,3.233
Set 1 SP_EV556,55.5,111,120.25,6.98,158.69,126.417,13.875,159.16,126.274,29.687,222.0,222.0,93.086,129.66,8.667,93.086,129.52,0.087,150.271,170.674,17.613
Set 1 SP_EV557,50.0,100,108.333,6.89,142.97,113.889,12.5,143.39,113.76,26.745,200.0,200.0,81.794,116.664,8.597,81.794,116.519,0.098,137.16,159.14,1.703
Set 1 SP_EV558,57.0,114,123.5,7.21,162.98,129.833,14.25,163.46,129.687,30.489,228.0,228.0,93.771,133.012,8.996,93.771,132.881,0.086,154.377,181.41,2.177
Set 1 SP_EV559,50.0,100,108.333,6.95,142.97,113.889,12.5,143.39,113.76,26.745,200.0,200.0,81.233,116.754,8.638,81.233,116.597,0.102,137.37,158.371,1.73
Set 1 SP_EV560,59.5,119,128.917,7.64,170.13,135.528,14.875,170.63,135.375,31.826,238.0,238.0,99.591,138.834,9.538,99.591,138.696,0.086,161.428,184.733,1.591
Set 1 SP_EV561,46.0,92,99.667,6.35,131.53,104.778,11.5,131.92,104.659,24.605,184.0,184.0,73.808,107.322,7.92,73.808,107.178,0.099,126.164,146.446,3.904
Set 1 SP_EV562,39.0,78,84.5,5.5,111.52,88.833,9.75,111.84,88.733,20.861,156.0,156.0,61.462,91.001,6.862,61.462,90.885,0.098,107.342,126.974,2.471
Set 1 SP_EV563,45.0,90,97.5,6.01,128.67,102.5,11.25,129.05,102.384,24.07,180.0,180.0,78.919,108.083,7.047,78.919,107.965,0.094,124.865,141.483,16.037
Set 1 SP_EV564,45.0,90,97.5,5.98,128.67,102.5,11.25,129.05,102.384,24.07,180.0,180.0,77.454,107.384,7.096,77.454,107.287,0.085,124.216,141.461,11.723
Set 1 SP_EV565,56.5,113,122.417,7.41,161.55,128.694,14.125,162.03,128.549,30.221,226.0,226.0,92.126,131.835,9.237,92.126,131.696,0.089,153.781,179.098,1.977
Set 1 SP_EV566,54.0,108,117.0,7.18,154.41,123.0,13.5,154.86,122.861,28.884,216.0,216.0,87.667,126.01,8.945,87.667,125.872,0.091,147.283,169.302,4.62
Set 1 SP_EV567,54.5,109,118.083,7.28,155.84,124.139,13.625,156.29,123.999,29.152,218.0,218.0,88.341,127.165,9.08,88.341,127.033,0.085,148.702,170.33,1.494
Set 1 SP_EV568,53.0,106,114.833,7.09,151.55,120.722,13.25,151.99,120.586,28.349,212.0,212.0,86.879,123.708,8.832,86.879,123.56,0.095,144.654,166.584,2.743
Set 1 SP_EV569,53.5,107,115.917,7.09,152.98,121.861,13.375,153.43,121.723,28.617,214.0,214.0,86.254,124.909,8.817,86.254,124.775,0.092,145.9,168.975,1.859
Set 1 SP_EV570,49.0,98,106.167,6.6,140.11,111.611,12.25,140.52,111.485,26.21,196.0,196.0,81.618,114.834,8.175,81.618,114.708,0.09,134.258,153.94,2.059
Set 1 SP_EV571,42.5,85,92.083,5.77,121.52,96.806,10.625,121.88,96.696,22.733,170.0,170.0,69.45,99.16,7.19,69.45,99.038,0.094,116.234,132.335,1.635
Set 1 SP_EV572,60.0,120,130.0,7.73,171.56,136.667,15.0,172.07,136.512,32.094,240.0,240.0,99.438,140.018,9.63,99.438,139.883,0.086,162.88,187.139,1.735
Set 1 SP_EV573,55.5,111,120.25,7.44,158.69,126.417,13.875,159.16,126.274,29.687,222.0,222.0,93.765,132.865,8.726,93.765,132.718,0.092,153.57,173.795,19.078
Set 1 SP_EV574,41.5,83,89.917,6.06,118.66,94.528,10.375,119.01,94.421,22.198,166.0,166.0,71.441,99.271,6.932,71.441,99.127,0.118,115.878,133.017,9.827
Set 1 SP_EV575,41.5,83,89.917,5.73,118.66,94.528,10.375,119.01,94.421,22.198,166.0,166.0,67.305,96.828,7.148,67.305,96.708,0.097,113.825,131.813,1.551
Set 1 SP_EV576,48.5,97,105.083,6.53,138.68,110.472,12.125,139.09,110.347,25.942,194.0,194.0,79.66,113.162,8.146,79.66,113.027,0.097,132.571,150.774,1.682
Set 1 SP_EV577,51.5,103,111.583,6.99,147.26,117.306,12.875,147.69,117.173,27.547,206.0,206.0,87.154,122.791,8.428,87.154,122.666,0.084,142.791,165.068,81.114
Set 1 SP_EV578,42.5,85,92.083,5.9,121.52,96.806,10.625,121.88,96.696,22.733,170.0,170.0,68.936,99.438,7.313,68.936,99.318,0.096,116.861,133.391,5.519
Set 1 SP_EV579,50.5,101,109.417,6.57,144.4,115.028,12.625,144.82,114.898,27.012,202.0,202.0,79.62,117.832,8.193,79.62,117.718,0.085,137.294,160.446,1.991
Set 1 SP_EV580,49.0,98,106.167,6.63,140.11,111.611,12.25,140.52,111.485,26.21,196.0,196.0,82.226,115.569,8.081,82.226,115.429,0.106,134.886,156.988,17.516
Set 1 SP_EV581,52.0,104,112.667,7.12,148.69,118.444,13.0,149.12,118.311,27.814,208.0,208.0,88.218,123.553,8.53,88.218,123.412,0.096,143.847,164.952,13.777
Set 1 SP_EV582,50.5,101,109.417,6.64,144.4,115.028,12.625,144.82,114.898,27.012,202.0,202.0,82.777,118.773,8.253,82.777,118.642,0.087,138.365,159.689,4.325
Set 1 SP_EV583,52.0,104,112.667,7.12,148.69,118.444,13.0,149.12,118.311,27.814,208.0,208.0,83.153,121.596,8.818,83.153,121.448,0.096,142.577,165.64,3.609
Set 1 SP_EV584,55.5,111,120.25,7.22,158.69,126.417,13.875,159.16,126.274,29.687,222.0,222.0,92.427,129.662,8.953,92.427,129.52,0.093,151.007,173.971,4.488
Set 1 SP_EV585,44.5,89,96.417,6.25,127.24,101.361,11.125,127.62,101.247,23.803,178.0,178.0,71.978,104.44,7.65,71.978,104.299,0.102,122.669,142.853,1.729
Set 1 SP_EV586,60.5,121,131.083,7.8,172.99,137.806,15.125,173.5,137.65,32.361,242.0,242.0,100.835,142.671,9.593,100.835,142.521,0.087,165.43,188.968,76.575
